binnengaan;دَخَلَ;daḫala
doen;فَعَلَ;faʿala
kennen;عَرَفَ;ʾarafa
leren;دَرَسَ;darasa
schrijven;كَتَبَ;kataba
slaan;ضَرَبَ;ḍaraba
kijken;نَظَرَ;naẓara
terugkomen;رَجَعَ;raǧaʿa
uitgaan;خَرَجَ مِنْ;ḫaraǧa min
verlaten;تَرَكَ;taraka
(ver)zoeken;طَلَبَ;ṭalaba
vragen;سَأَلَ;saʾala
(weg)gaan;ذَهَبَ;ḏahaba
wonen;صَكَنَ;sakana
begrijpen;فَهَمَ;fahima
(be)rijden;رَكِبَ;rakiba
driken;شَرِتَ;šariba
horen;سَمِعَ;samiʿa
kleden;لَبِسَ;labisa
onthouden;حَفِظَ;ḥafiẓa
spelen;لَعِبَ;laʿiba
werken;عَمِلَ;ʿamila
aankomen;وَصَلَ;waṣala
vinden;وَجَرَ;waǧada
leggen, zetten;وَضَعَ;waḍaʿa
nemen;أَخَذَ;ʾaḫaḏa
eten;أَكَلَ;ʾakala
lezen;قَرَأَ;qaraʾa